,1975,1980,1985,1990,1995,2000,2005,2010,2013,2015,2019,2020,2021,2022,2023
"25 to 64 years old, all education levels",6.8,5.0,6.1,3.6,4.8,3.3,4.4,9.1,6.6,4.7,3.2,4.5,5.6,3.2,3.3
  Less than high school completion,10.5,8.4,11.4,7.7,10.0,7.9,9.0,16.8,12.7,9.2,6.5,8.3,9.9,6.5,6.5
  High school completion\2\,6.8,5.1,6.9,3.8,5.2,3.8,5.5,12.1,8.7,6.2,4.0,6.0,7.4,4.6,4.4
"  Some college, no bachelor's degree\3\",5.5,4.3,4.7,3.1,4.5,3.0,4.2,8.8,6.5,4.9,3.5,4.7,6.4,3.2,3.4
  Bachelor's or higher degree,2.4,1.9,2.4,1.7,2.5,1.5,2.3,4.7,3.8,2.4,1.9,2.9,3.6,1.8,2.1
